Id,username,name,is_crawled
315,user315,Adorable Goldfinch,False
316,user316,Adorable Goosander,False
317,user317,Adorable Goose,False
318,user318,Adorable Gorilla,False
319,user319,Adorable Goshawk,False
320,user320,Adorable Grasshopper,False
321,user321,Adorable Grouse,False
322,user322,Adorable Guanaco,False
323,user323,Adorable Guinea fowl,False
324,user324,Adorable Guinea pig,False
325,user325,Adorable Gull,False
326,user326,Adorable Hamster,False
327,user327,Adorable Hare,False
328,user328,Adorable Hawk,False
329,user329,Adorable Hedgehog,False
330,user330,Adorable Heron,False
331,user331,Adorable Herring,False
332,user332,Adorable Hippo,False
333,user333,Adorable Hornet,False
334,user334,Adorable Horse,False
335,user335,Adorable Hummingbird,False
336,user336,Adorable Hyena,False
337,user337,Adorable Ibex,False
338,user338,Adorable Ibis,False
339,user339,Adorable Impala,False
340,user340,Adorable Jackal,True
341,user341,Adorable Jaguar,False
342,user342,Adorable Jay,False
343,user343,Adorable Jellyfish,False
344,user344,Adorable Kangaroo,False
345,user345,Adorable Kinkajou,False
346,user346,Adorable Koala,False
347,user347,Adorable Komodo dragon,False
348,user348,Adorable Kouprey,False
349,user349,Adorable Kudu,False
350,user350,Adorable Lapwing,False
351,user351,Adorable Lark,False
352,user352,Adorable Lemur,False
353,user353,Adorable Leopard,False
354,user354,Adorable Lion,False
355,user355,Adorable Llama,False
356,user356,Adorable Lobster,False
357,user357,Adorable Locust,False
358,user358,Adorable Loris,False
359,user359,Adorable Louse,False
360,user360,Adorable Lyrebird,False
361,user361,Adorable Magpie,False
362,user362,Adorable Mallard,False
363,user363,Adorable Mammoth,False
364,user364,Adorable Manatee,False
365,user365,Adorable Mandrill,False
366,user366,Adorable Mink,False
367,user367,Adorable Mole,False
368,user368,Adorable Mongoose,False
369,user369,Adorable Monkey,False
370,user370,Adorable Moose,False
371,user371,Adorable Mosquito,False
372,user372,Adorable Mouse,False
373,user373,Adorable Narwhal,False
374,user374,Adorable Newt,False
375,user375,Adorable Nightingale,True
376,user376,Adorable Octopus,False
377,user377,Adorable Okapi,False
378,user378,Adorable Opossum,False
379,user379,Adorable Ostrich,False
380,user380,Adorable Otter,False
381,user381,Adorable Owl,False
382,user382,Adorable Oyster,False
383,user383,Adorable Panda,False
384,user384,Adorable Panther,False
385,user385,Adorable Parrot,False
386,user386,Adorable Partridge,False
387,user387,Adorable Peafowl,False
388,user388,Adorable Pelican,False
389,user389,Adorable Penguin,False
390,user390,Adorable Pheasant,False
391,user391,Adorable Pig,False
392,user392,Adorable Pigeon,False
393,user393,Adorable Polar bear,False
394,user394,Adorable Pony,False
395,user395,Adorable Porcupine,False
396,user396,Adorable Porpoise,False
397,user397,Adorable Prairie dog,False
398,user398,Adorable Pug,False
399,user399,Adorable Quail,False
400,user400,Adorable Quelea,False
401,user401,Adorable Quetzal,False
402,user402,Adorable Rabbit,False
403,user403,Adorable Raccoon,False
404,user404,Adorable Ram,False
405,user405,Adorable Rat,False
406,user406,Adorable Raven,False
407,user407,Adorable Red deer,False
408,user408,Adorable Red panda,False
409,user409,Adorable Reindeer,False
410,user410,Adorable Rhinoceros,False
411,user411,Adorable Rook,False
412,user412,Adorable Salamander,False
413,user413,Adorable Salmon,False
414,user414,Adorable Sand dollar,False
415,user415,Adorable Sandpiper,False
416,user416,Adorable Sardine,False
417,user417,Adorable Sea lion,False
418,user418,Adorable Seahorse,False
419,user419,Adorable Seal,False
420,user420,Adorable Shark,False
421,user421,Adorable Sheep,False
422,user422,Adorable Shrew,False
423,user423,Adorable Siamang,False
424,user424,Adorable Skunk,False
425,user425,Adorable Sloth,False
426,user426,Adorable Snail,False
427,user427,Adorable Snake,False
428,user428,Adorable Spider,False
429,user429,Adorable Squid,False
430,user430,Adorable Squirrel,False
431,user431,Adorable Starling,False
432,user432,Adorable Stegosaurus,False
433,user433,Adorable Swan,False
434,user434,Adorable Tapir,False
435,user435,Adorable Tarsier,False
436,user436,Adorable Termite,False
437,user437,Adorable Tiger,False
438,user438,Adorable Toad,False
439,user439,Adorable Turkey,False
440,user440,Adorable Vicuña,False
441,user441,Adorable Wallaby,False
442,user442,Adorable Walrus,False
443,user443,Adorable Wasp,False
444,user444,Adorable Water buffalo,False
445,user445,Adorable Weasel,False
446,user446,Adorable Whale,False
447,user447,Adorable Wolf,False
448,user448,Adorable Wolverine,False
449,user449,Adorable Wombat,False
450,user450,Adorable Wren,False
451,user451,Adorable Yak,True
452,user452,Adorable Zebra,False
453,user453,Adorable Angelfish,False
454,user454,Adorable Bearded dragon,True
455,user455,Adorable Capybara,False
456,user456,Adorable Cardinal,False
457,user457,Adorable Cougar,False
458,user458,Adorable Dingo,False
459,user459,Adorable Egret,False
460,user460,Adorable Iguana,False
461,user461,Adorable Jackrabbit,False
462,user462,Adorable Kookaburra,False
463,user463,Adorable Lechwe,False
464,user464,Adorable Ocelot,False
465,user465,Adorable Orca,False
466,user466,Adorable Stork,False
467,user467,Adorable Tortoise,False
468,user468,Adored Aardvark,True
469,user469,Adored Albatross,False
470,user470,Adored Alligator,False
471,user471,Adored Alpaca,False
472,user472,Adored Ant,False
473,user473,Adored Anteater,False
474,user474,Adored Antelope,False
475,user475,Adored Ape,False
476,user476,Adored Armadillo,False
477,user477,Adored Baboon,False
478,user478,Adored Badger,False
479,user479,Adored Barracuda,False
480,user480,Adored Bat,False
481,user481,Adored Bear,False
482,user482,Adored Beaver,False
483,user483,Adored Bee,False
484,user484,Adored Bird,False
485,user485,Adored Bison,False
486,user486,Adored Boar,False
487,user487,Adored Buffalo,False
488,user488,Adored Butterfly,False
489,user489,Adored Camel,False
490,user490,Adored Caribou,False
491,user491,Adored Cassowary,False
492,user492,Adored Cat,False
493,user493,Adored Caterpillar,False
494,user494,Adored Cattle,False
495,user495,Adored Chameleon,False
496,user496,Adored Chamois,False
497,user497,Adored Cheetah,False
498,user498,Adored Chicken,False
499,user499,Adored Chimpanzee,False
500,user500,Adored Chinchilla,False
501,user501,Adored Chough,False
502,user502,Adored Coati,False
503,user503,Adored Cobra,False
504,user504,Adored Cockroach,False
505,user505,Adored Cod,False
506,user506,Adored Cormorant,False
507,user507,Adored Coyote,False
508,user508,Adored Crab,False
509,user509,Adored Crane,False
510,user510,Adored Crocodile,False
511,user511,Adored Crow,False
512,user512,Adored Curlew,False
513,user513,Adored Deer,False
514,user514,Adored Dinosaur,False
515,user515,Adored Dog,False
516,user516,Adored Dogfish,False
517,user517,Adored Dolphin,False
518,user518,Adored Donkey,False
519,user519,Adored Dotterel,False
520,user520,Adored Dove,False
521,user521,Adored Dragonfly,False
522,user522,Adored Duck,False
523,user523,Adored Dugong,False
524,user524,Adored Dunlin,False
525,user525,Adored Eagle,False
526,user526,Adored Echidna,False
527,user527,Adored Eel,False
528,user528,Adored Eland,False
529,user529,Adored Elephant,False
530,user530,Adored Elephant seal,False
531,user531,Adored Elk,True
532,user532,Adored Emu,False
533,user533,Adored Falcon,False
534,user534,Adored Ferret,False
535,user535,Adored Finch,False
536,user536,Adored Fish,False
537,user537,Adored Flamingo,False
538,user538,Adored Fly,False
539,user539,Adored Fox,False
540,user540,Adored Frog,False
541,user541,Adored Gaur,True
542,user542,Adored Gazelle,False
543,user543,Adored Gerbil,False
544,user544,Adored Giant panda,False
545,user545,Adored Giraffe,False
546,user546,Adored Gnat,False
547,user547,Adored Gnu,False
548,user548,Adored Goat,False
549,user549,Adored Goldfinch,False
550,user550,Adored Goosander,False
551,user551,Adored Goose,False
552,user552,Adored Gorilla,False
553,user553,Adored Goshawk,False
554,user554,Adored Grasshopper,False
555,user555,Adored Grouse,False
556,user556,Adored Guanaco,False
557,user557,Adored Guinea fowl,False
558,user558,Adored Guinea pig,False
559,user559,Adored Gull,False
560,user560,Adored Hamster,False
561,user561,Adored Hare,False
562,user562,Adored Hawk,False
563,user563,Adored Hedgehog,False
564,user564,Adored Heron,False
